uuid,timestamp,caller_id,call_type,duration
B594CCE7-2CF0-43DB-91F6-D667634B2A85,2024-08-09T18:56:08.844862,,cellular,0
7535131E-DC95-41F6-8636-B37525978E67,2024-08-09T19:00:03.063165,,cellular,0
B306C707-CB71-4956-BB6A-30C25A956504,2024-08-09T19:30:29.064214,,cellular,0
E16EC662-9373-43A3-B1E3-E4F95D93B975,2024-08-09T22:36:41.064640,,cellular,0
CBE56747-6978-44F9-BF31-D1011A0511D4,2024-08-09T22:39:01.060485,,cellular,0
18449BEF-4CD1-4DE9-89B2-94759A43F8C4,2024-08-09T23:34:58.071291,,cellular,0
83692C4D-2768-4057-A054-DB7AC1944574,2024-08-10T14:38:50.090722,,cellular,0
4E097639-F4B4-4AD3-B101-56F137CEC4F0,2024-08-10T14:39:29.063037,,cellular,0
3E07B7E6-DCCB-43A9-B8DA-46DA5226D070,2024-08-10T14:48:16.063160,,cellular,0
0FCE94BB-310A-434B-AE6D-19483A2A497A,2024-08-10T15:46:05.061782,,cellular,0
943DDB1C-D475-479C-8578-50AD2D532397,2024-08-10T16:45:17.054840,,cellular,0
F09E1D13-63E9-418A-B66E-3A0CF714A4C3,2024-08-10T16:55:04.072338,,cellular,0
65A1C43B-E4F7-4C32-B643-5C888EE44AA7,2024-08-10T17:23:47.814262,,cellular,0
0557AC27-B459-4AB0-89F8-3CF2A191BF98,2024-08-10T19:00:15.040106,,cellular,0
5F5B0F8E-CD7B-47CF-A086-A12454BB6DA5,2024-08-10T20:47:19.062605,,cellular,0
0EDC55DA-4C0E-49E6-A893-AC19AF8F9367,2024-08-10T20:50:07.071503,,cellular,0
348B9385-E882-4749-BFFE-DFFA7C620832,2024-08-10T20:54:42.070972,,cellular,0
4C0AF7A0-E7A3-402C-B9FB-2C309566C396,2024-08-10T21:07:44.066212,,cellular,0
2A386BA4-3E0C-4C66-AA73-0B10A3B3A268,2024-08-10T21:13:33.062280,,cellular,0
561C6759-F3F9-43C4-A9AA-BDE29DA6E777,2024-08-10T22:08:06.216668,,cellular,0
3DDE2B61-2814-4543-B289-8E0AD68C0C72,2024-08-10T22:26:04.061658,,cellular,0
412BB4D1-5C42-4500-9BC7-9AED4D634361,2024-08-10T22:27:04.055857,,cellular,0
891E7725-0292-4774-855C-B47CF651BBDE,2024-08-11T15:21:38.059166,,cellular,0
55709244-E511-46B8-9BFD-F50DA64FF3F8,2024-08-11T16:52:07.088198,,cellular,0
A2121BC3-5C6D-4949-9CDA-847598595BB3,2024-08-11T17:37:08.062633,,cellular,0
0E74B006-611C-4C87-BAFE-8E74F38705A9,2024-08-11T18:03:19.064207,,cellular,0
5F1EE9F0-038A-4739-ACA4-B0C30071C5AD,2024-08-11T20:49:58.064716,,cellular,0
E195EF48-D583-45EF-87CB-2DA5C245BD73,2024-08-11T20:52:00.071160,,cellular,0
43B106A6-EE2F-4320-99D3-D3FD184A5C7D,2024-08-11T23:59:43.068953,,cellular,0
6C28BE0A-8AB1-406F-A619-C973C33E2D92,2024-08-12T00:06:34.317685,,cellular,0
C30C1ED0-09F7-457E-92D1-65F5BDE6C2A8,2024-08-12T00:10:29.584418,,cellular,0
95F0D076-F116-4BAF-9438-6FA3A90A242A,2024-08-12T00:10:37.078443,,cellular,0
E81F2183-EA51-407B-ADE7-B942EC6C4F60,2024-08-12T13:40:19.084087,,cellular,0
8E0F767E-1748-4ECA-87A4-7B191B1DFA73,2024-08-12T14:04:19.065241,,cellular,0
96FABEC9-BDCC-42D3-8BBD-64AB27556B99,2024-08-12T14:13:07.078457,,cellular,0
F9CB3BC8-8E63-4C4A-A8C3-ACDB068CE45D,2024-08-12T14:14:40.067150,,cellular,0
E5C83C14-91AE-4808-A6B7-2CBA6A331FCA,2024-08-12T14:16:09.064931,,cellular,0
1671A6B1-E83B-4F60-9230-7F0D25CF107F,2024-08-12T14:18:40.082675,,cellular,0
C0963B0F-32B6-47D6-86BE-252B69ADB533,2024-08-12T14:24:56.083064,,cellular,0
D284DECB-6F85-4F57-838B-EDF9E4D1DD3A,2024-08-12T14:25:02.435672,,cellular,0
CECB0293-1083-4A75-AD91-771F58F0DDBE,2024-08-12T14:26:55.082878,,cellular,0
0E71CFFA-C9EE-4BCC-B43F-36EBCBEE9D18,2024-08-12T14:56:38.057720,,cellular,0
8CD444AE-D7D9-406A-A205-C0A4C5E64F2A,2024-08-12T15:30:06.071845,,cellular,0
1F8E7648-780A-4089-9709-F0AF89693EB5,2024-08-12T15:32:52.072932,,cellular,0
FBD7C616-DD56-42A9-BBF3-24E6E86746DC,2024-08-12T15:33:14.052747,,cellular,0
07CF8092-7421-4C3B-8A9A-34EB2BBAA002,2024-08-12T15:35:52.125988,,cellular,0
7BCBA2AF-9D80-4937-94B5-834127E4669B,2024-08-12T15:47:30.162318,,cellular,0
19BDF292-3A27-448E-9856-3FB1DDB0CB38,2024-08-12T16:07:14.082434,,cellular,0
97EC9F01-0B65-4C13-80BD-06E14298A076,2024-08-12T16:29:00.069998,,cellular,0
2BD570EF-DBF6-42D2-907C-91887A5ED253,2024-08-12T16:35:50.067773,,cellular,0
B122B83B-84AF-4A1E-AB4B-614093442291,2024-08-12T16:45:45.070982,,cellular,0
FB5E11CB-B06C-4E60-B1DD-4CF06C0F2C70,2024-08-12T16:47:48.076714,,cellular,0
A123AC1B-11DE-4998-A40B-393FDDE22327,2024-08-12T17:17:48.065533,,cellular,0
3ED174DD-4CB1-42FC-ADDE-A0647D28ABC3,2024-08-12T17:52:03.065596,,cellular,0
71AF6D41-B43B-43D6-B88B-03E182A2FFAD,2024-08-12T17:54:21.079439,,cellular,0
919101EE-C42F-4BA4-AA58-A197CC6EDF60,2024-08-12T18:17:14.063093,,cellular,0
79E332C3-3474-458D-97C5-9938C2405C66,2024-08-12T19:02:54.078466,,cellular,0
632489B8-9A89-4928-9C6E-84E19D16A1DD,2024-08-12T19:16:07.071224,,cellular,0
2B77127F-531F-4189-AD79-A678C2C31F7A,2024-08-12T20:25:52.077584,,cellular,0
5E3E1219-F07A-43EA-9811-93388F5F625D,2024-08-12T20:27:13.423410,,cellular,0
414B6EF3-0570-4533-80DB-D7C886EAA076,2024-08-12T20:27:26.110160,,cellular,0
9B536FE4-3683-4A95-A34F-9E273C677DD7,2024-08-12T20:30:38.067466,,cellular,0
AABE9C51-01A3-482E-9226-7554C3F1CA4D,2024-08-12T20:47:31.472349,,cellular,0
B6E35C7E-9E0E-49D1-88C8-E68598063B45,2024-08-12T20:51:46.044930,,cellular,0
A3FC08B5-A701-43FD-80A6-888A3C1DA8CB,2024-08-12T21:33:50.066372,,cellular,0
E62B9D7B-6F63-4E27-9FE2-19F157756068,2024-08-12T22:24:53.059539,,cellular,0
3FDD9CCB-04E3-4EDF-A6E7-BD13B7570B6B,2024-08-12T23:02:08.123482,,cellular,0
4E9BADE8-1AA5-4A27-BF98-D3BFFF679D89,2024-08-13T05:35:40.069321,,cellular,0
6D870B7E-4AD7-42A7-9429-158DB3D050E6,2024-08-13T05:36:46.674823,,cellular,0
71A0DF6E-3145-40B5-99C4-E7A0AB323AE1,2024-08-13T05:38:36.074804,,cellular,0
4BF9490A-5E93-461A-8880-A7C667841F35,2024-08-13T09:41:20.045877,,cellular,0
44D84C03-BE03-43D2-BBD6-FCAE47DED272,2024-08-13T11:49:41.056739,,cellular,0
34EE13F0-BB5F-4CB0-B25E-88D6DFE0D663,2024-08-13T14:47:58.069987,,cellular,0
FA19B716-0BB7-4C87-B218-B9F885497CAB,2024-08-13T14:48:38.073350,,cellular,0
509A940F-32A8-415D-B5ED-D518AB94E10B,2024-08-13T14:49:16.045688,,cellular,0
68E03B11-92B7-47F5-AB61-715240E1142C,2024-08-13T14:52:45.064649,,cellular,0
27740B96-77D6-45C2-B98F-CF46EAFE1479,2024-08-13T15:04:04.079744,,cellular,0
F679C329-27F7-433F-97E3-B9D916875FBA,2024-08-13T15:13:46.072643,,cellular,0
CC79857E-3BFE-4266-B0E5-AB175E5ECBEA,2024-08-13T15:16:15.093301,,cellular,0
68265E3C-E744-4937-A8D9-618E801B318F,2024-08-13T15:42:31.071619,,cellular,0
FB911F7D-E445-4678-9C1C-6885297F8902,2024-08-13T16:28:31.066911,,cellular,0
552E3E01-832E-4C6B-8B0F-7E866D79CED8,2024-08-13T17:46:18.069153,,cellular,0
5E0022A5-6614-473C-9B0D-B90095C33494,2024-08-13T18:51:39.086118,,cellular,0
EBB98CDC-3D4A-4512-A200-9C68D5E411AD,2024-08-13T18:56:17.064071,,cellular,0
ABC93E1A-C6F3-46F2-9DC0-9909D2C4FE45,2024-08-13T19:02:39.078394,,cellular,0
A64B7C73-841C-46A6-A53F-C1BB7276B05A,2024-08-13T20:30:43.632990,,cellular,0
2070F694-B7D1-4F0F-A88E-7F28C99219C7,2024-08-13T20:46:21.894339,,facetime,0
59424B40-C021-4A7E-AD79-EC2AD89993B8,2024-08-13T20:53:22.072872,,cellular,0
F15DD396-46A1-4728-B10D-C47506F00079,2024-08-13T21:36:36.071565,,cellular,0
638F2CD3-3782-455C-A5D3-8C0C0DD8C884,2024-08-13T21:38:52.086811,,cellular,0
68F44496-B049-405D-B704-76E41854EFE2,2024-08-13T22:59:11.067283,,cellular,0
3ED83DB1-558F-4578-90CF-8AF0B7F0C76D,2024-08-13T23:18:12.074787,,cellular,0
3ED4728A-EB01-4C3A-8BD2-23CC85B3703B,2024-08-13T23:20:49.071240,,cellular,0
6317AA9C-8D20-46AC-81EA-A16D4DA0FE36,2024-08-14T13:39:33.077762,,cellular,0
F299F998-2917-4AFA-B20E-DF32F0BE0907,2024-08-14T13:46:37.048314,,cellular,0
836EC470-89AD-402B-8FB2-834DBC07FB7F,2024-08-14T14:06:05.196248,,cellular,0
B98118D9-CD00-499A-8442-BC9BB3A4F4E9,2024-08-14T14:46:22.097165,,cellular,0
027B36B2-4445-4520-8F94-7C05633B9D37,2024-08-14T15:21:03.060581,,cellular,0
D0B3D22D-81F5-4EE1-8E3C-DF18038ACF4E,2024-08-14T15:21:45.068276,,cellular,0
F49A4CD4-C5DA-4E8E-9278-C282793AACD9,2024-08-14T15:52:11.080795,,cellular,0
C66EA5D8-4F7C-403F-8FDD-BD3CFD0F1A95,2024-08-14T15:53:16.066461,,cellular,0
E223F1A9-68F6-406C-8E5F-AA3FD6E27E54,2024-08-14T16:16:22.080297,,cellular,0
676E5C05-8050-4BC1-99BB-1C527158383D,2024-08-14T16:36:50.065947,,cellular,0
4DAF0C6F-6ABC-45B1-AD20-36895D804958,2024-08-14T16:52:36.259423,,cellular,0
9FFD20F5-8164-4C8E-AD06-00A3D3C2E901,2024-08-14T16:53:16.075288,,cellular,0
1DEA6613-8535-45B4-800F-3B9086A55ECA,2024-08-14T16:59:29.333717,,cellular,0
ACA0BCC3-708D-4D75-BB3B-0834E1B99197,2024-08-14T17:01:44.377155,,cellular,0
2C4DF10C-F524-4F3C-81DE-9A314661148F,2024-08-14T17:18:47.078635,,cellular,0
708D60A4-6CE2-4951-AC7D-BC0A95C5A039,2024-08-14T17:24:12.049284,,cellular,0
4B6E03D0-C9F0-4CE2-94FE-C1E64C1891A7,2024-08-14T17:25:39.045810,,cellular,0
CD18B478-EDFB-4798-A40C-52E855F7FF5B,2024-08-14T17:32:54.567324,,cellular,0
